Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Roserade,Grass Poison,Bouquet Pokémon,0.9 m (2′11″),14.5 kg (32.0 lbs),1. Natural Cure2. Poison PointTechnician (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),232,Medium Slow,"50% male, 50% female",60,70,65,125,105,90
Cranidos,Rock,Head Butt Pokémon,0.9 m (2′11″),31.5 kg (69.4 lbs),1. Mold BreakerSheer Force (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),70,Erratic,"87.5% male, 12.5% female",67,125,40,30,30,58
Rampardos,Rock,Head Butt Pokémon,1.6 m (5′03″),102.5 kg (226.0 lbs),1. Mold BreakerSheer Force (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),173,Erratic,"87.5% male, 12.5% female",97,165,60,65,50,58
Shieldon,Rock Steel,Shield Pokémon,0.5 m (1′08″),57.0 kg (125.7 lbs),1. SturdySoundproof (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),70,Erratic,"87.5% male, 12.5% female",30,42,118,42,88,30
Bastiodon,Rock Steel,Shield Pokémon,1.3 m (4′03″),149.5 kg (329.6 lbs),1. SturdySoundproof (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),173,Erratic,"87.5% male, 12.5% female",60,52,168,47,138,30
Burmy,Bug,Bagworm Pokémon,0.2 m (0′08″),3.4 kg (7.5 lbs),Shed Skin Overcoat,"120 (15.7% with PokéBall, full HP)",50 (normal),45,Medium Fast,"50% male, 50% female",40,29,45,29,45,36
Wormadam,Bug Steel,Bagworm Pokémon,0.5 m (1′08″),6.5 kg (14.3 lbs),Anticipation Overcoat,"45 (5.9% with PokéBall, full HP)",50 (normal),148,Medium Fast,"0% male, 100% female",60,69,95,69,95,36
Mothim,Bug Flying,Moth Pokémon,0.9 m (2′11″),23.3 kg (51.4 lbs),1. SwarmTinted Lens (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),148,Medium Fast,"100% male, 0% female",70,94,50,94,50,66
Combee,Bug Flying,Tiny Bee Pokémon,0.3 m (1′00″),5.5 kg (12.1 lbs),1. Honey GatherHustle (hidden ability),"120 (15.7% with PokéBall, full HP)",50 (normal),49,Medium Slow,"87.5% male, 12.5% female",30,30,42,30,42,70
Vespiquen,Bug Flying,Beehive Pokémon,1.2 m (3′11″),38.5 kg (84.9 lbs),1. PressureUnnerve (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),166,Medium Slow,"0% male, 100% female",70,80,102,80,102,40
