Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Zeraora,Electric,Thunderclap Pokémon,1.5 m (4′11″),44.5 kg (98.1 lbs),1. Volt Absorb,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),270,Slow,Genderless,88,112,75,102,80,143
Meltan,Steel,Hex Nut Pokémon,0.2 m (0′08″),8.0 kg (17.6 lbs),1. Magnet Pull,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),150,Slow,Genderless,46,65,65,55,35,34
Melmetal,Steel,Hex Nut Pokémon,2.5 m (8′02″),800.0 kg (1763.7 lbs),1. Iron Fist,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),300,Slow,Genderless,135,143,143,80,65,34
Grookey,Grass,Chimp Pokémon,0.3 m (1′00″),5.0 kg (11.0 lbs),1. OvergrowGrassy Surge (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"87.5% male, 12.5% female",50,65,50,40,40,65
Thwackey,Grass,Beat Pokémon,0.7 m (2′04″),14.0 kg (30.9 lbs),1. OvergrowGrassy Surge (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),147,Medium Slow,"87.5% male, 12.5% female",70,85,70,55,60,80
Rillaboom,Grass,Drummer Pokémon,2.1 m (6′11″),90.0 kg (198.4 lbs),1. OvergrowGrassy Surge (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),265,Medium Slow,"87.5% male, 12.5% female",100,125,90,60,70,85
Scorbunny,Fire,Rabbit Pokémon,0.3 m (1′00″),4.5 kg (9.9 lbs),1. BlazeLibero (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"87.5% male, 12.5% female",50,71,40,40,40,69
Raboot,Fire,Rabbit Pokémon,0.6 m (2′00″),9.0 kg (19.8 lbs),1. BlazeLibero (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),147,Medium Slow,"87.5% male, 12.5% female",65,86,60,55,60,94
Cinderace,Fire,Striker Pokémon,1.4 m (4′07″),33.0 kg (72.8 lbs),1. BlazeLibero (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),265,Medium Slow,"87.5% male, 12.5% female",80,116,75,65,75,119
Sobble,Water,Water Lizard Pokémon,0.3 m (1′00″),4.0 kg (8.8 lbs),1. TorrentSniper (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"87.5% male, 12.5% female",50,40,40,70,40,70
