Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Gligar,Ground Flying,FlyScorpion Pokémon,1.1 m (3′07″),64.8 kg (142.9 lbs),1. Hyper Cutter2. Sand VeilImmunity (hidden ability),"60 (7.8% with PokéBall, full HP)",50 (normal),86,Medium Slow,"50% male, 50% female",65,75,105,35,65,85
Steelix,Steel Ground,Iron Snake Pokémon,10.5 m (34′05″),740.0 kg (1631.4 lbs),Sand Force,"25 (3.3% with PokéBall, full HP)",50 (normal),214,Medium Fast,"50% male, 50% female",75,125,230,55,95,30
Snubbull,Fairy,Fairy Pokémon,0.6 m (2′00″),7.8 kg (17.2 lbs),1. Intimidate2. Run AwayRattled (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),60,Fast,"25% male, 75% female",60,80,50,40,40,30
Granbull,Fairy,Fairy Pokémon,1.4 m (4′07″),48.7 kg (107.4 lbs),1. Intimidate2. Quick FeetRattled (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),158,Fast,"25% male, 75% female",90,120,75,60,60,45
Qwilfish,Dark Poison,Balloon Pokémon,0.5 m (1′08″),3.9 kg (8.6 lbs),Poison Point Swift Swim Intimidate,"45 (5.9% with PokéBall, full HP)",50 (normal),88,Medium Fast,"50% male, 50% female",65,95,85,55,55,85
Scizor,Bug Steel,Pincer Pokémon,2.0 m (6′07″),125.0 kg (275.6 lbs),Technician,"25 (3.3% with PokéBall, full HP)",50 (normal),210,Medium Fast,"50% male, 50% female",70,150,140,65,100,75
Shuckle,Bug Rock,Mold Pokémon,0.6 m (2′00″),20.5 kg (45.2 lbs),1. Sturdy2. GluttonyContrary (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),177,Medium Slow,"50% male, 50% female",20,10,230,10,230,5
Heracross,Bug Fighting,Single Horn Pokémon,1.7 m (5′07″),62.5 kg (137.8 lbs),Skill Link,"45 (5.9% with PokéBall, full HP)",50 (normal),210,Slow,"50% male, 50% female",80,185,115,40,105,75
Sneasel,Fighting Poison,Sharp Claw Pokémon,0.9 m (2′11″),27.0 kg (59.5 lbs),Inner Focus Keen Eye Pickpocket,"60 (7.8% with PokéBall, full HP)",35 (lower than normal),86,Medium Slow,"50% male, 50% female",55,95,55,35,75,115
Teddiursa,Normal,Little Bear Pokémon,0.6 m (2′00″),8.8 kg (19.4 lbs),1. Pickup2. Quick FeetHoney Gather (hidden ability),"120 (15.7% with PokéBall, full HP)",50 (normal),66,Medium Fast,"50% male, 50% female",60,80,50,50,50,40
Ursaring,Normal,Hibernator Pokémon,1.8 m (5′11″),125.8 kg (277.3 lbs),1. Guts2. Quick FeetUnnerve (hidden ability),"60 (7.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,"50% male, 50% female",90,130,75,75,75,55
Slugma,Fire,Lava Pokémon,0.7 m (2′04″),35.0 kg (77.2 lbs),1. Magma Armor2. Flame BodyWeak Armor (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),50,Medium Fast,"50% male, 50% female",40,40,40,70,40,20
Magcargo,Fire Rock,Lava Pokémon,0.8 m (2′07″),55.0 kg (121.3 lbs),1. Magma Armor2. Flame BodyWeak Armor (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),151,Medium Fast,"50% male, 50% female",60,50,120,90,80,30
Swinub,Ice Ground,Pig Pokémon,0.4 m (1′04″),6.5 kg (14.3 lbs),1. Oblivious2. Snow CloakThick Fat (hidden ability),"225 (29.4% with PokéBall, full HP)",50 (normal),50,Slow,"50% male, 50% female",50,50,40,30,30,50
Piloswine,Ice Ground,Swine Pokémon,1.1 m (3′07″),55.8 kg (123.0 lbs),1. Oblivious2. Snow CloakThick Fat (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),158,Slow,"50% male, 50% female",100,100,80,60,60,50
Corsola,Ghost,Coral Pokémon,0.6 m (2′00″),0.5 kg (1.1 lbs),Weak Armor Cursed Body,"60 (7.8% with PokéBall, full HP)",50 (normal),144,Fast,"25% male, 75% female",60,55,100,65,100,30
Remoraid,Water,Jet Pokémon,0.6 m (2′00″),12.0 kg (26.5 lbs),1. Hustle2. SniperMoody (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),60,Medium Fast,"50% male, 50% female",35,65,35,65,35,65
Octillery,Water,Jet Pokémon,0.9 m (2′11″),28.5 kg (62.8 lbs),1. Suction Cups2. SniperMoody (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),168,Medium Fast,"50% male, 50% female",75,105,75,105,75,45
Delibird,Ice Flying,Delivery Pokémon,0.9 m (2′11″),16.0 kg (35.3 lbs),1. Vital Spirit2. HustleInsomnia (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),116,Fast,"50% male, 50% female",45,55,45,65,45,75
Mantine,Water Flying,Kite Pokémon,2.1 m (6′11″),220.0 kg (485.0 lbs),1. Swift Swim2. Water AbsorbWater Veil (hidden ability),"25 (3.3% with PokéBall, full HP)",50 (normal),170,Slow,"50% male, 50% female",85,40,70,80,140,70
Skarmory,Steel Flying,Armor Bird Pokémon,1.7 m (5′07″),50.5 kg (111.3 lbs),1. Keen Eye2. SturdyWeak Armor (hidden ability),"25 (3.3% with PokéBall, full HP)",50 (normal),163,Slow,"50% male, 50% female",65,80,140,40,70,70
Houndour,Dark Fire,Dark Pokémon,0.6 m (2′00″),10.8 kg (23.8 lbs),1. Early Bird2. Flash FireUnnerve (hidden ability),"120 (15.7% with PokéBall, full HP)",35 (lower than normal),66,Slow,"50% male, 50% female",45,60,30,80,50,65
Houndoom,Dark Fire,Dark Pokémon,1.9 m (6′03″),49.5 kg (109.1 lbs),Solar Power,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),210,Slow,"50% male, 50% female",75,90,90,140,90,115
Kingdra,Water Dragon,Dragon Pokémon,1.8 m (5′11″),152.0 kg (335.1 lbs),1. Swift Swim2. SniperDamp (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),243,Medium Fast,"50% male, 50% female",75,95,95,95,95,85
Phanpy,Ground,Long Nose Pokémon,0.5 m (1′08″),33.5 kg (73.9 lbs),1. PickupSand Veil (hidden ability),"120 (15.7% with PokéBall, full HP)",50 (normal),66,Medium Fast,"50% male, 50% female",90,60,60,40,40,40
Donphan,Ground,Armor Pokémon,1.1 m (3′07″),120.0 kg (264.6 lbs),1. SturdySand Veil (hidden ability),"60 (7.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,"50% male, 50% female",90,120,120,60,60,50
Porygon2,Normal,Virtual Pokémon,0.6 m (2′00″),32.5 kg (71.7 lbs),1. Trace2. DownloadAnalytic (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),180,Medium Fast,Genderless,85,80,90,105,95,60
Stantler,Normal,Big Horn Pokémon,1.4 m (4′07″),71.2 kg (157.0 lbs),1. Intimidate2. FriskSap Sipper (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),163,Slow,"50% male, 50% female",73,95,62,85,65,85
Smeargle,Normal,Painter Pokémon,1.2 m (3′11″),58.0 kg (127.9 lbs),1. Own Tempo2. TechnicianMoody (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),88,Fast,"50% male, 50% female",55,20,35,20,45,75
Tyrogue,Fighting,Scuffle Pokémon,0.7 m (2′04″),21.0 kg (46.3 lbs),1. Guts2. SteadfastVital Spirit (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),42,Medium Fast,"100% male, 0% female",35,35,35,35,35,35
Hitmontop,Fighting,Handstand Pokémon,1.4 m (4′07″),48.0 kg (105.8 lbs),1. Intimidate2. TechnicianSteadfast (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),159,Medium Fast,"100% male, 0% female",50,95,95,35,110,70
Smoochum,Ice Psychic,Kiss Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),1. Oblivious2. ForewarnHydration (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),61,Medium Fast,"0% male, 100% female",45,30,15,85,65,65
Elekid,Electric,Electric Pokémon,0.6 m (2′00″),23.5 kg (51.8 lbs),1. StaticVital Spirit (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),72,Medium Fast,"75% male, 25% female",45,63,37,65,55,95
