Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Hitmonchan,Fighting,Punching Pokémon,1.4 m (4′07″),50.2 kg (110.7 lbs),1. Keen Eye2. Iron FistInner Focus (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),159,Medium Fast,"100% male, 0% female",50,105,79,35,110,76
Lickitung,Normal,Licking Pokémon,1.2 m (3′11″),65.5 kg (144.4 lbs),1. Own Tempo2. ObliviousCloud Nine (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),77,Medium Fast,"50% male, 50% female",90,55,75,60,75,30
Koffing,Poison,Poison Gas Pokémon,0.6 m (2′00″),1.0 kg (2.2 lbs),1. Levitate2. Neutralizing GasStench (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),68,Medium Fast,"50% male, 50% female",40,65,95,60,45,35
Weezing,Poison Fairy,Poison Gas Pokémon,3.0 m (9′10″),16.0 kg (35.3 lbs),Levitate Neutralizing Gas Misty Surge,"60 (7.8% with PokéBall, full HP)",50 (normal),172,Medium Fast,"50% male, 50% female",65,90,120,85,70,60
Rhyhorn,Ground Rock,Spikes Pokémon,1.0 m (3′03″),115.0 kg (253.5 lbs),1. Lightning Rod2. Rock HeadReckless (hidden ability),"120 (15.7% with PokéBall, full HP)",50 (normal),69,Slow,"50% male, 50% female",80,85,95,30,30,25
Rhydon,Ground Rock,Drill Pokémon,1.9 m (6′03″),120.0 kg (264.6 lbs),1. Lightning Rod2. Rock HeadReckless (hidden ability),"60 (7.8% with PokéBall, full HP)",50 (normal),170,Slow,"50% male, 50% female",105,130,120,45,45,40
Chansey,Normal,Egg Pokémon,1.1 m (3′07″),34.6 kg (76.3 lbs),1. Natural Cure2. Serene GraceHealer (hidden ability),"30 (3.9% with PokéBall, full HP)",140 (higher than normal),395,Fast,"0% male, 100% female",250,5,5,35,105,50
Tangela,Grass,Vine Pokémon,1.0 m (3′03″),35.0 kg (77.2 lbs),1. Chlorophyll2. Leaf GuardRegenerator (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),87,Medium Fast,"50% male, 50% female",65,55,115,100,40,60
Kangaskhan,Normal,Parent Pokémon,2.2 m (7′03″),100.0 kg (220.5 lbs),Parental Bond,"45 (5.9% with PokéBall, full HP)",50 (normal),207,Medium Fast,"0% male, 100% female",105,125,100,60,100,100
Horsea,Water,Dragon Pokémon,0.4 m (1′04″),8.0 kg (17.6 lbs),1. Swift Swim2. SniperDamp (hidden ability),"225 (29.4% with PokéBall, full HP)",50 (normal),59,Medium Fast,"50% male, 50% female",30,40,70,70,25,60
Seadra,Water,Dragon Pokémon,1.2 m (3′11″),25.0 kg (55.1 lbs),1. Poison Point2. SniperDamp (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),154,Medium Fast,"50% male, 50% female",55,65,95,95,45,85
Goldeen,Water,Goldfish Pokémon,0.6 m (2′00″),15.0 kg (33.1 lbs),1. Swift Swim2. Water VeilLightning Rod (hidden ability),"225 (29.4% with PokéBall, full HP)",50 (normal),64,Medium Fast,"50% male, 50% female",45,67,60,35,50,63
Seaking,Water,Goldfish Pokémon,1.3 m (4′03″),39.0 kg (86.0 lbs),1. Swift Swim2. Water VeilLightning Rod (hidden ability),"60 (7.8% with PokéBall, full HP)",50 (normal),158,Medium Fast,"50% male, 50% female",80,92,65,65,80,68
Staryu,Water,Star Shape Pokémon,0.8 m (2′07″),34.5 kg (76.1 lbs),1. Illuminate2. Natural CureAnalytic (hidden ability),"225 (29.4% with PokéBall, full HP)",50 (normal),68,Slow,Genderless,30,45,55,70,55,85
Starmie,Water Psychic,Mysterious Pokémon,1.1 m (3′07″),80.0 kg (176.4 lbs),1. Illuminate2. Natural CureAnalytic (hidden ability),"60 (7.8% with PokéBall, full HP)",50 (normal),182,Slow,Genderless,60,75,85,100,85,115
mr-mime,Ice Psychic,Dancing Pokémon,1.4 m (4′07″),56.8 kg (125.2 lbs),Vital Spirit Screen Cleaner Ice Body,"45 (5.9% with PokéBall, full HP)",50 (normal),161,Medium Fast,"50% male, 50% female",50,65,65,90,90,100
Scyther,Bug Flying,Mantis Pokémon,1.5 m (4′11″),56.0 kg (123.5 lbs),1. Swarm2. TechnicianSteadfast (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),100,Medium Fast,"50% male, 50% female",70,110,80,55,80,105
Jynx,Ice Psychic,Human Shape Pokémon,1.4 m (4′07″),40.6 kg (89.5 lbs),1. Oblivious2. ForewarnDry Skin (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),159,Medium Fast,"0% male, 100% female",65,50,35,115,95,95
Electabuzz,Electric,Electric Pokémon,1.1 m (3′07″),30.0 kg (66.1 lbs),1. StaticVital Spirit (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),172,Medium Fast,"75% male, 25% female",65,83,57,95,85,105
Magmar,Fire,Spitfire Pokémon,1.3 m (4′03″),44.5 kg (98.1 lbs),1. Flame BodyVital Spirit (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),173,Medium Fast,"75% male, 25% female",65,95,57,100,85,93
Pinsir,Bug Flying,Stag Beetle Pokémon,1.7 m (5′07″),59.0 kg (130.1 lbs),Aerilate,"45 (5.9% with PokéBall, full HP)",50 (normal),210,Slow,"50% male, 50% female",65,155,120,65,90,105
Tauros,Fighting Water,Wild Bull Pokémon,1.4 m (4′07″),110.0 kg (242.5 lbs),Intimidate Anger Point Cud Chew,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Slow,"100% male, 0% female",75,110,105,30,70,100
Magikarp,Water,Fish Pokémon,0.9 m (2′11″),10.0 kg (22.0 lbs),1. Swift SwimRattled (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),40,Slow,"50% male, 50% female",20,10,55,15,20,80
Gyarados,Water Dark,Atrocious Pokémon,6.5 m (21′04″),305.0 kg (672.4 lbs),Mold Breaker,"45 (5.9% with PokéBall, full HP)",50 (normal),224,Slow,"50% male, 50% female",95,155,109,70,130,81
Lapras,Water Ice,Transport Pokémon,2.5 m (8′02″),220.0 kg (485.0 lbs),1. Water Absorb2. Shell ArmorHydration (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),187,Slow,"50% male, 50% female",130,85,80,85,95,60
Ditto,Normal,Transform Pokémon,0.3 m (1′00″),4.0 kg (8.8 lbs),1. LimberImposter (hidden ability),"35 (4.6% with PokéBall, full HP)",50 (normal),101,Medium Fast,Genderless,48,48,48,48,48,48
Eevee,Normal,Evolution Pokémon,0.3 m (1′00″),6.5 kg (14.3 lbs),"","45 (5.9% with PokéBall, full HP)",50 (normal),65,Medium Fast,"87.5% male, 12.5% female",65,75,70,65,85,75
Vaporeon,Water,Bubble Jet Pokémon,1.0 m (3′03″),29.0 kg (63.9 lbs),1. Water AbsorbHydration (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),184,Medium Fast,"87.5% male, 12.5% female",130,65,60,110,95,65
Jolteon,Electric,Lightning Pokémon,0.8 m (2′07″),24.5 kg (54.0 lbs),1. Volt AbsorbQuick Feet (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),184,Medium Fast,"87.5% male, 12.5% female",65,65,60,110,95,130
Flareon,Fire,Flame Pokémon,0.9 m (2′11″),25.0 kg (55.1 lbs),1. Flash FireGuts (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),184,Medium Fast,"87.5% male, 12.5% female",65,130,60,95,110,65
Porygon,Normal,Virtual Pokémon,0.8 m (2′07″),36.5 kg (80.5 lbs),1. Trace2. DownloadAnalytic (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),79,Medium Fast,Genderless,65,60,70,85,75,40
Omanyte,Rock Water,Spiral Pokémon,0.4 m (1′04″),7.5 kg (16.5 lbs),1. Swift Swim2. Shell ArmorWeak Armor (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),71,Medium Fast,"87.5% male, 12.5% female",35,40,100,90,55,35
Omastar,Rock Water,Spiral Pokémon,1.0 m (3′03″),35.0 kg (77.2 lbs),1. Swift Swim2. Shell ArmorWeak Armor (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),173,Medium Fast,"87.5% male, 12.5% female",70,60,125,115,70,55
Kabuto,Rock Water,Shellfish Pokémon,0.5 m (1′08″),11.5 kg (25.4 lbs),1. Swift Swim2. Battle ArmorWeak Armor (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),71,Medium Fast,"87.5% male, 12.5% female",30,80,90,55,45,55
Kabutops,Rock Water,Shellfish Pokémon,1.3 m (4′03″),40.5 kg (89.3 lbs),1. Swift Swim2. Battle ArmorWeak Armor (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),173,Medium Fast,"87.5% male, 12.5% female",60,115,105,65,70,80
Aerodactyl,Rock Flying,Fossil Pokémon,2.1 m (6′11″),79.0 kg (174.2 lbs),Tough Claws,"45 (5.9% with PokéBall, full HP)",50 (normal),215,Slow,"87.5% male, 12.5% female",80,135,85,70,95,150
Snorlax,Normal,Sleeping Pokémon,2.1 m (6′11″),460.0 kg (1014.1 lbs),1. Immunity2. Thick FatGluttony (hidden ability),"25 (3.3% with PokéBall, full HP)",50 (normal),189,Slow,"87.5% male, 12.5% female",160,110,65,65,110,30
Articuno,Psychic Flying,Cruel Pokémon,1.7 m (5′07″),50.9 kg (112.2 lbs),Competitive,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),290,Slow,Genderless,90,85,85,125,100,95
Zapdos,Fighting Flying,Strong Legs Pokémon,1.6 m (5′03″),58.2 kg (128.3 lbs),Defiant,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),290,Slow,Genderless,90,125,90,85,90,100
Moltres,Dark Flying,Malevolent Pokémon,2.0 m (6′07″),66.0 kg (145.5 lbs),Berserk,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),290,Slow,Genderless,90,85,90,100,125,90
Dratini,Dragon,Dragon Pokémon,1.8 m (5′11″),3.3 kg (7.3 lbs),1. Shed SkinMarvel Scale (hidden ability),"45 (5.9% with PokéBall, full HP)",35 (lower than normal),60,Slow,"50% male, 50% female",41,64,45,50,50,50
Dragonair,Dragon,Dragon Pokémon,4.0 m (13′01″),16.5 kg (36.4 lbs),1. Shed SkinMarvel Scale (hidden ability),"45 (5.9% with PokéBall, full HP)",35 (lower than normal),147,Slow,"50% male, 50% female",61,84,65,70,70,70
Dragonite,Dragon Flying,Dragon Pokémon,2.2 m (7′03″),210.0 kg (463.0 lbs),1. Inner FocusMultiscale (hidden ability),"45 (5.9% with PokéBall, full HP)",35 (lower than normal),300,Slow,"50% male, 50% female",91,134,95,100,100,80
Mewtwo,Psychic,Genetic Pokémon,1.5 m (4′11″),33.0 kg (72.8 lbs),Insomnia,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),351,Slow,Genderless,106,150,70,194,120,140
Mew,Psychic,New Species Pokémon,0.4 m (1′04″),4.0 kg (8.8 lbs),1. Synchronize,"45 (5.9% with PokéBall, full HP)",100 (higher than normal),300,Medium Slow,Genderless,100,100,100,100,100,100
Chikorita,Grass,Leaf Pokémon,0.9 m (2′11″),6.4 kg (14.1 lbs),1. OvergrowLeaf Guard (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),64,Medium Slow,"87.5% male, 12.5% female",45,49,65,49,65,45
